Id,FriendlyName,ShortName,Category,Priority,ForceShow,ArmorClass
_54009119af1c881c07000029,Item,Item,Parent Element,-1 Blacklist,FALSE,-1
_5422acb9af1c889c16000029,Weapon,Weapon,Parent Element,-1 Blacklist,FALSE,-1
_543be5664bdc2dd4348b4569,Meds,Meds,Parent Element,0 None,FALSE,-1
_543be5cb4bdc2deb348b4568,Ammo container,Ammo container,Parent Element,-1 Blacklist,FALSE,-1
_543be5dd4bdc2deb348b4569,Money,Money,Parent Element,-1 Blacklist,FALSE,-1
_543be5e94bdc2df1348b4568,Key,Key,Parent Element,-1 Blacklist,FALSE,-1
_543be5f84bdc2dd4348b456a,Equipment,Equipment,Parent Element,-1 Blacklist,FALSE,-1
_543be6564bdc2df4348b4568,Throwable weapon,Throwable weapon,Parent Element,-1 Blacklist,FALSE,-1
_543be6674bdc2df1348b4569,Food and drink,Food and drink,Parent Element,-1 Blacklist,FALSE,-1
_5447a9cd4bdc2dbd208b4567,Colt M4A1 5.56x45 assault rifle,M4A1,Assault Rifles,4 Ultra,FALSE,-1
_5447ac644bdc2d6c208b4567,5.56x45mm M855 ammo pack (30 pcs),M855,5.56x45,0 None,FALSE,-1
_5447b5cf4bdc2d65278b4567,Pistol,Pistol,Parent Element,-1 Blacklist,FALSE,-1
_5447b5e04bdc2d62278b4567,SMG,SMG,Parent Element,-1 Blacklist,FALSE,-1
_5447b5f14bdc2d61278b4567,Assault rifle,Assault rifle,Parent Element,-1 Blacklist,FALSE,-1
_5447b5fc4bdc2d87278b4567,Assault carbine,Assault carbine,Parent Element,-1 Blacklist,FALSE,-1
_5447b6094bdc2dc3278b4567,Shotgun,Shotgun,Parent Element,-1 Blacklist,FALSE,-1
_5447b6194bdc2d67278b4567,Marksman rifle,Marksman rifle,Parent Element,-1 Blacklist,FALSE,-1
_5447b6254bdc2dc3278b4568,Sniper rifle,Sniper rifle,Parent Element,-1 Blacklist,FALSE,-1
_5447bed64bdc2d97278b4568,Machinegun,Machinegun,Parent Element,-1 Blacklist,FALSE,-1
_5447bedf4bdc2d87278b4568,Grenade launcher,Grenade launcher,Parent Element,-1 Blacklist,FALSE,-1
_5447bee84bdc2dc3278b4569,Special weapon,Special weapon,Parent Element,-1 Blacklist,FALSE,-1
_5447e0e74bdc2d3c308b4567,Special item,Special item,Parent Element,-1 Blacklist,FALSE,-1
_5447e1d04bdc2dff2f8b4567,Knife,Knife,Parent Element,-1 Blacklist,FALSE,-1
_5448ba0b4bdc2d02308b456c,Factory emergency exit key,Factory,Keys,3 High,FALSE,-1
_5448bc234bdc2d3c308b4569,Magazine,Magazine,Parent Element,-1 Blacklist,FALSE,-1
_5448bd6b4bdc2dfc2f8b4569,Makarov PM 9x18PM pistol,PM,Pistols,0 None,FALSE,-1
_5448be9a4bdc2dfd2f8b456a,RGD-5 hand grenade,RGD-5,Throwables,2 Medium,FALSE,-1
_5448bf274bdc2dfc2f8b456a,Port. Container,Port. Container,Parent Element,-1 Blacklist,FALSE,-1
_5448c12b4bdc2d02308b456f,PM 9x18PM 90-93 8-round magazine,PM,Magazines,0 None,FALSE,-1
_5448c1d04bdc2dff2f8b4569,5.56x45 Magpul PMAG 20 GEN M3 STANAG 20-round magazine,GEN M3,Magazines,0 None,FALSE,-1
_5448e5284bdc2dcb718b4567,Chest rig,Chest rig,Parent Element,-1 Blacklist,FALSE,-1
_5448e53e4bdc2d60728b4567,Backpack,Backpack,Parent Element,-1 Blacklist,FALSE,-1
_5448e54d4bdc2dcc718b4568,Armor,Armor,Parent Element,-1 Blacklist,FALSE,-1
_5448e5724bdc2ddf718b4568,Visors,Visors,Parent Element,-1 Blacklist,FALSE,-1
_5448e8d04bdc2ddf718b4569,Food,Food,Parent Element,-1 Blacklist,FALSE,-1
_5448e8d64bdc2dce718b4568,Drink,Drink,Parent Element,-1 Blacklist,FALSE,-1
_5448eb774bdc2d0a728b4567,Barter item,Barter item,Parent Element,-1 Blacklist,FALSE,-1
_5448ecbe4bdc2d60728b4568,Info,Info,Parent Element,-1 Blacklist,FALSE,-1
_5448f39d4bdc2d0a728b4568,Medikit,Medikit,Parent Element,-1 Blacklist,FALSE,-1
_5448f3a14bdc2d27728b4569,Drug,Drug,Parent Element,-1 Blacklist,FALSE,-1
_5448f3a64bdc2d60728b456a,Stimulator,Stimulator,Parent Element,-1 Blacklist,FALSE,-1
_5448f3ac4bdc2dce718b4569,Medical item,Medical item,Parent Element,-1 Blacklist,FALSE,-1
_5448fe124bdc2da5018b4567,Weapon mod,Weapon mod,Parent Element,-1 Blacklist,FALSE,-1
_5448fe394bdc2d0d028b456c,Muzzle device,Muzzle device,Parent Element,-1 Blacklist,FALSE,-1
_5448fe7a4bdc2d6f028b456b,Sights,Sights,Parent Element,-1 Blacklist,FALSE,-1
_5448fee04bdc2dbc018b4567,0.6 liter water bottle,Water,Provisions,0 None,FALSE,-1
_5448ff904bdc2d6f028b456e,Army crackers,Crackers,Provisions,0 None,FALSE,-1
_5449016a4bdc2d6f028b456f,Roubles,RUB,Currency,0 None,FALSE,-1
_544901bf4bdc2ddf018b456d,Wad of roubles,Wad of roubles,Currency,0 None,FALSE,-1
_544909bb4bdc2d6f028b4577,AN/PEQ-15 tactical device,AN/PEQ-15,Lights & Lasers,0 None,FALSE,-1
_54491bb74bdc2d09088b4567,ER FULCRUM BAYONET,ER BAYONET,Melee,0 None,FALSE,-1
_54491c4f4bdc2db1078b4568,MP-133 12ga pump-action shotgun,MP-133,Shotguns,0 None,FALSE,-1
_544a11ac4bdc2d470e8b456a,Secure container Alpha,Alpha,Port. Container,-1 Blacklist,FALSE,-1
_544a378f4bdc2d30388b4567,5.56x45 Magpul PMAG 40 GEN M3 STANAG 40-round magazine,GEN M3,Magazines,0 None,FALSE,-1
_544a37c44bdc2d25388b4567,5.56x45 SureFire MAG5-60 STANAG 60-round magazine,MAG5-60,Magazines,1 Low,FALSE,-1
_544a38634bdc2d58388b4568,AR-15 Colt USGI A2 5.56x45 flash hider,USGI A2,Sights,0 None,FALSE,-1
_544a3a774bdc2d3a388b4567,Leupold Mark 4 HAMR 4x24mm DeltaPoint hybrid assault scope,HAMR,Sights,3 High,FALSE,-1
_544a5caa4bdc2d1a388b4568,Crye Precision AVS plate carrier,AVS,Armored Rigs,4 Ultra,FALSE,4
_544a5cde4bdc2d39388b456b,Flyye MBSS backpack,MBSS,Backpacks,0 None,FALSE,-1
_544fb25a4bdc2dfb738b4567,Aseptic bandage,Bandage,Medical,1 Low,FALSE,-1
_544fb3364bdc2d34748b456a,Immobilizing splint,Splint,Medical,0 None,FALSE,-1
_544fb37f4bdc2dee738b4567,Analgin painkillers,Analgin,Medical,0 None,FALSE,-1
_544fb3f34bdc2d03748b456a,Morphine injector,Morphine,Medical,2 Medium,FALSE,-1
_544fb45d4bdc2dee738b4568,Salewa first aid kit,Salewa,Medical,2 Medium,FALSE,-1
_544fb5454bdc2df8738b456a,Leatherman Multitool,MultiTool,Special,0 None,FALSE,-1
_544fb62a4bdc2dfb738b4568,Pack of Russian Army pineapple juice,Pineapple,Provisions,0 None,FALSE,-1
_544fb6cc4bdc2d34748b456e,Slickers chocolate bar,Slickers,Provisions,0 None,FALSE,-1
_54527a984bdc2d4e668b4567,5.56x45mm M855,M855,5.56x45,0 None,FALSE,-1
_54527ac44bdc2d36668b4567,5.56x45mm M855A1,M855A1,5.56x45,1 Low,FALSE,-1
_545cdae64bdc2d39198b4568,Camelbak Tri-Zip assault backpack,Tri-Zip,Backpacks,4 Ultra,FALSE,-1
_545cdb794bdc2d3a198b456a,6B43 6A Zabralo-Sh body armor,6B43 6A,Armor Vests,4 Ultra,FALSE,6
_5485a8684bdc2da71d8b4567,Ammo,Ammo,Parent Element,-1 Blacklist,FALSE,-1
_550aa4154bdc2dd8348b456b,Functional mod,Functional mod,Parent Element,-1 Blacklist,FALSE,-1
_550aa4af4bdc2dd4348b456e,Compensator,Compensator,Parent Element,-1 Blacklist,FALSE,-1
