FriendlyName,EntityType,Category,ObjectName
_base_car,Loot,Vehicle Parts,assets/content/vehicles/modularcar/_base_car_chassis.entity.prefab
12 Gauge Buckshot,Loot,Ammo,ammo.shotgun (world)
12 Gauge Incendiary Shell,Loot,Ammo,ammo.shotgun.fire (world)
12 Gauge Slug,Loot,Ammo,ammo.shotgun.slug (world)
16x Zoom Scope,Loot,Weapons,weapon.mod.8x.scope (world)
1module_cockpit,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_cockpit.prefab
1module_cockpit_armored,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_cockpit_armored.prefab
1module_cockpit_with_engine,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_cockpit_with_engine.prefab
1module_engine,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_engine.prefab
1module_flatbed,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_flatbed.prefab
1module_passengers_armored,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_passengers_armored.prefab
1module_rear_seats,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_rear_seats.prefab
1module_storage,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_storage.prefab
1module_taxi,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/1module_taxi.prefab
2 Module Car,Vehicle,Content Vehicles,assets/content/vehicles/modularcar/2module_car_spawned.entity.prefab
2module_flatbed,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/2module_flatbed.prefab
2module_fuel_tank,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/2module_fuel_tank.prefab
2module_passengers,Loot,Vehicle Parts,assets/content/vehicles/modularcar/module_entities/2module_passengers.prefab
3 Module Car,Vehicle,Content Vehicles,assets/content/vehicles/modularcar/3module_car_spawned.entity.prefab
4 Module Car,Vehicle,Content Vehicles,assets/content/vehicles/modularcar/4module_car_spawned.entity.prefab
40mm HE Grenade,Loot,Ammo,ammo.grenadelauncher.he (world)
40mm Shotgun Round,Loot,Ammo,ammo.grenadelauncher.buckshot (world)
40mm Smoke Grenade,Loot,Ammo,ammo.grenadelauncher.smoke (world)
40mm_grenade_he,Loot,Ammo,assets/prefabs/ammo/40mmgrenade/40mm_grenade_he.prefab
40mm_grenade_smoke,Loot,Ammo,assets/prefabs/ammo/40mmgrenade/40mm_grenade_smoke.prefab
5.56 Rifle Ammo,Loot,Ammo,ammo.rifle (world)
8x Zoom Scope,Loot,Weapons,weapon.mod.small.scope (world)
8xscope,Loot,Prefabs Weapons Mods,assets/prefabs/weapon mods/8x scope/8xscope.entity.prefab
8xscopevm,Loot,Prefabs Weapons Mods,assets/prefabs/weapon mods/8x scope/8xscope.vm.attachment.prefab
A Barrel Costume,Loot,Clothing,barrelcostume (world)
Above Ground Pool,Loot,Items,abovegroundpool (world)
abovegroundpooldeployed,Blacklist,N/A,assets/prefabs/misc/summer_dlc/abovegroundpool/abovegroundpool.deployed.prefab
Acoustic Guitar,Loot,Instruments,fun.guitar (world)
Adv. Anti-Rad Tea,Loot,Potions,radiationresisttea.advanced (world)
Advanced Healing Tea,Loot,Potions,healingtea.advanced (world)
Advanced Max Health Tea,Loot,Potions,maxhealthtea.advanced (world)
Advanced Ore Tea,Loot,Potions,oretea.advanced (world)
Advanced Rad. Removal Tea,Loot,Potions,radiationremovetea.advanced (world)
Advanced Scrap Tea,Loot,Potions,scraptea.advanced (world)
Advanced Wood Tea,Loot,Potions,woodtea.advanced (world)
Airwolf Spawner,PlayerNPC,N/A,assets/prefabs/npc/bandit/airwolfspawner.prefab
ak47u,Loot,Prefabs Weapons,assets/prefabs/weapons/ak47u/ak47u.entity.prefab
Alarm System,Blacklist,N/A,assets/prefabs/npc/ch47/alarmsytstem.prefab
alarmsound,Blacklist,N/A,assets/prefabs/io/electric/other/alarmsound.prefab
american_beech_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_field_large/american_beech_a.prefab
american_beech_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/american_beech_a.prefab
american_beech_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/american_beech_a.prefab
american_beech_a,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/american_beech_a.prefab
american_beech_a_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/american_beech_a_dead.prefab
american_beech_a_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/american_beech_a_dead.prefab
american_beech_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/american_beech_b.prefab
american_beech_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/american_beech_b.prefab
american_beech_b,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/american_beech_b.prefab
american_beech_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest/american_beech_c.prefab
american_beech_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forest_pine/american_beech_c.prefab
american_beech_c,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_large/american_beech_c.prefab
american_beech_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_field/american_beech_d.prefab
american_beech_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_field_large/american_beech_d.prefab
american_beech_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/american_beech_d.prefab
american_beech_d,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/american_beech_d.prefab
american_beech_d_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_field/american_beech_d_dead.prefab
american_beech_d_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest_small/american_beech_d_dead.prefab
american_beech_e,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/american_beech_e.prefab
american_beech_e,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/american_beech_e.prefab
american_beech_e,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_field/american_beech_e.prefab
american_beech_e_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v3_temp_forestside/american_beech_e_dead.prefab
american_beech_e_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_temp_forest_deciduous_small/american_beech_e_dead.prefab
american_beech_e_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_field/american_beech_e_dead.prefab
american_beech_e_dead,Blacklist,N/A,assets/bundled/prefabs/autospawn/resource/v2_tundra_forest_small/american_beech_e_dead.prefab
AND Switch,Loot,Electronics,electric.andswitch (world)
andswitch,Blacklist,N/A,assets/prefabs/io/electric/switches/andswitch.prefab
andswitchentity,Blacklist,N/A,assets/prefabs/deployable/playerioents/gates/andswitch/andswitch.entity.prefab
Animal Fat,Loot,Resources,fat.animal (world)
Anti-Rad Tea,Loot,Potions,radiationresisttea (world)
Anti-Radiation Pills,Loot,Medicals,antiradpills (world)
Apple,Loot,Food,apple (world)
arcadeuser,Blacklist,N/A,assets/prefabs/vehicle/seats/arcadeuser.prefab
Armored Cockpit Vehicle Module,Loot,Vehicle Parts,vehicle.1mod.cockpit.armored (world)
doorhingedbunkerdoor,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.bunker.door.prefab
doorhingedcargo_ship,Blacklist,N/A,assets/bundled/prefabs/static/door.hinged.cargo_ship.prefab
Armored Passenger Vehicle Module,Loot,Vehicle Parts,vehicle.1mod.passengers.armored (world)
Arrow,Loot,Ammo,assets/prefabs/ammo/arrow/arrow.prefab
Assault Rifle,Loot,Weapons,rifle.ak (world)
Audio Alarm,Loot,Electronics,electric.audioalarm (world)
audioalarm,Blacklist,N/A,assets/prefabs/deployable/playerioents/alarms/audioalarm.prefab
Auto Turret,Loot,Traps,assets/prefabs/npc/autoturret/autoturret_deployed.prefab
Auto Turret,Loot,Traps,autoturret (world)
axe_salvaged,Loot,Prefabs Weapons,assets/prefabs/weapons/salvaged_axe/axe_salvaged.entity.prefab
Backpack,Loot,Corpse,assets/prefabs/misc/item drop/item_drop_backpack.prefab
ballentity,Blacklist,N/A,assets/content/vehicles/ball/ball.entity.prefab
bandage,Loot,Prefabs Weapons,assets/prefabs/weapons/bandage/bandage.entity.prefab
Bandage,Loot,Medicals,bandage (world)
Bandana Mask,Loot,Clothing,mask.bandana (world)
Bandit Conversationalist,PlayerNPC,N/A,assets/prefabs/npc/bandit/shopkeepers/bandit_conversationalist.prefab
Bandit Guard,PlayerNPC,N/A,assets/prefabs/npc/bandit/guard/bandit_guard.prefab
Bandit Guard Gear,Loot,Clothing,attire.banditguard (world)
Bandit Shopkeeper,PlayerNPC,N/A,assets/prefabs/npc/bandit/shopkeepers/bandit_shopkeeper.prefab
Barbed Wooden Barricade,Loot,Construction,barricade.woodwire (world)
Barbeque,Loot,Items,bbq (world)
Barrel,Loot,Barrel,assets/bundled/prefabs/autospawn/resource/loot/loot-barrel-1.prefab
Barrel,Loot,Barrel,assets/bundled/prefabs/autospawn/resource/loot/loot-barrel-2.prefab
Barrel,Loot,Barrel,assets/bundled/prefabs/radtown/loot_barrel_1.prefab
Barrel,Loot,Barrel,assets/bundled/prefabs/radtown/loot_barrel_2.prefab
barricadeconcrete,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.concrete.prefab
barricadecoverwood,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.cover.wood.prefab
barricademetal,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.metal.prefab
barricadesandbags,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.sandbags.prefab
barricadestone,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.stone.prefab
barricadewood,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.wood.prefab
barricadewoodwire,Blacklist,N/A,assets/prefabs/deployable/barricades/barricade.woodwire.prefab
Baseball Cap,Loot,Clothing,hat.cap (world)
