Id,FriendlyName,Category,Priority
_5a7ad2e851dfba0016153692,Big Stick,Attachments,0 None
_5d96141523f0ea1b7f2aacab,"""Door Kicker""",Vanity,0 None
_5d1b376e86f774252519444e,Moonshine,Food,3 High
_59e655cb86f77411dc52a77b,EKO,Ammo,0 None
_59e6542b86f77411dc52a77a,FMJ,Ammo,0 None
_59e6658b86f77411d949b250,Geksa,Ammo,0 None
_5448fee04bdc2dbc018b4567,Water,Food,2 Medium
_587df3a12459772c28142567,SKS int.,Attachments,0 None
_5c5db5b82e2216003a0fe71d,"10.5"" MPX 9x19",Attachments,0 None
_5cc701aae4a949000e1ea45c,"10.5"" P90 5.7x28",Attachments,0 None
_5c6d85e02e22165df16b81f4,"10.6"" 416A5 5.56x45",Attachments,0 None
_5cffa483d7ad1a049e54ef1c,100 rounds belt,Attachments,0 None
_5c6592372e221600133e47d7,MAG5-100,Attachments,0 None
_5d25a6538abbc306c62e630d,AICS 10rnd,Attachments,0 None
_5888988e24597752fe43a6fa,DVL-10,Attachments,0 None
_5bfeaa0f0db834001b734927,Wyatt 10rnd,Attachments,0 None
_57838f0b2459774a256959b2,6L24,Attachments,0 None
_5998529a86f774647f44f421,9x19 Sb.7,Attachments,0 None
_559ba5b34bdc2d1f1a8b4582,SV-98 polymer,Attachments,0 None
_55d4837c4bdc2d1d4e8b456c,Saiga 545,Attachments,0 None
_5c471c442e221602b542a6f8,SVD 7.62x54,Attachments,0 None
_5a78832ec5856700155a6ca3,M870x10,Attachments,0 None
_5bb20d92d4351e00853263eb,"11"" 416A5 5.56x45",Attachments,0 None
_5b099a765acfc47a8607efe3,"11"" SA-58 7.62x51",Attachments,0 None
_56d5a1f7d2720bb3418b456a,112mm P226 9x19,Attachments,0 None
_571a26d524597720680fbe8a,116mm st. TT,Attachments,0 None
_5b3baf8f5acfc40dc5296692,116mm gld. TT,Attachments,0 None
_5cde8864d7f00c0010373be1,12.7x108 mm B-32,Ammo,0 None
_5d2f2ab648f03550091993ca,12.7x108 mm BZT-44M,Ammo,0 None
_5caf1041ae92157c28402e3f,ASh-12 10rd.,Attachments,0 None
_5caf1109ae9215753c44119f,Ash-12 20rnd Mag,Attachments,0 None
_5cadf6ddae9215051e1c23b2,PS12,Ammo,0 None
_5cadf6e5ae921500113bb973,PS12A,Ammo,0 None
_5cadf6eeae921500134b2799,PS12B,Ammo,0 None
_5d6e6891a4b9361bd473feea,P-3 12c,Ammo,0 None
_5d6e689ca4b9361bc8618956,P-6u 12c,Ammo,0 None
_5d6e6772a4b936088465b17c,5.25 12c,Ammo,0 None
_5d6e6806a4b936088465b17e,8.5 12c,Ammo,0 None
_5d6e68a8a4b9360b6c0d54e2,AP-20,Ammo,1 Low
_5d6e68dea4b9361bcc29e659,2-Sabot,Ammo,0 None
_5d6e6911a4b9361bd5780d52,Flech.,Ammo,0 None
_5d6e68e6a4b9361c140bcfe0,FTX,Ammo,0 None
_5d6e6869a4b9361c140bcfde,Grizzly,Ammo,0 None
_5d6e68d1a4b93622fe60e845,SF,Ammo,0 None
_5d6e68b3a4b9361bca7e50b5,CSP,Ammo,0 None
_5737292724597765e5728562,120 pcs. 5.45x39 BP gs ammo pack,Ammo Pack,0 None
_57372a7f24597766fe0de0c1,120 pcs. 5.45x39 BP gs ammo pack (damaged),Ammo Pack,0 None
_57372b832459776701014e41,BS Ammo (120),Ammo Pack,1 Low
_57372bad245977670b7cd242,BS Ammo (120) (dmg),Ammo Pack,1 Low
_57372c21245977670937c6c2,BT gs,Ammo Pack,1 Low
_57372c56245977685e584582,120 pcs. 5.45x39 BT gs ammo pack (damaged),Ammo Pack,1 Low
_57372d1b2459776862260581,120 pcs. 5.45x39 PP gs ammo pack,Ammo Pack,0 None
_57372d4c245977685a3da2a1,120 pcs. 5.45x39 PP gs ammo pack (damaged),Ammo Pack,0 None
_57372deb245977685d4159b3,120 pcs. 5.45x39 PRS gs ammo pack,Ammo Pack,0 None
_57372e1924597768553071c1,120 pcs. 5.45x39 PRS gs ammo pack (damaged),Ammo Pack,0 None
_57372e73245977685d4159b4,120 pcs. 5.45x39 PS gs ammo pack,Ammo Pack,0 None
_57372e94245977685648d3e1,120 pcs. 5.45x39 PS gs ammo pack (damaged),Ammo Pack,0 None
_57372ee1245977685d4159b5,120 pcs. 5.45x39 T gs ammo pack,Ammo Pack,0 None
_57372f2824597769a270a191,120 pcs. 5.45x39 T gs ammo pack (damaged),Ammo Pack,0 None
_57372f7d245977699b53e301,US gs,Ammo Pack,0 None
_57372fc52459776998772ca1,120 pcs. 5.45x39 US gs ammo pack (damaged),Ammo Pack,0 None
_5d25a6a48abbc306c62e6310,MDT 12rnd,Attachments,0 None
_5d6e67fba4b9361bc73bc779,6.5 12c,Ammo,0 None
_560d5e524bdc2d25448b4571,7mm 12c,Ammo,0 None
