FriendlyName,TypeName,EntityType,Category,Notes,ConfigName,CleanName,ModelName
Bull,Animal_BosTaurus_Brown,Animal,N/A,,dayzanimal,Bull,
Cow,Animal_BosTaurusF_Brown,Animal,N/A,,dayzanimal,Cow,
Cow,Animal_BosTaurusF_Spotted,Animal,N/A,,dayzanimal,Cow,
Cow,Animal_BosTaurusF_White,Animal,N/A,,dayzanimal,Cow,
Wolf,Animal_CanisLupus_Grey,Animal,N/A,,dayzanimal,Wolf,
Wolf,Animal_CanisLupus_White,Animal,N/A,,dayzanimal,Wolf,
Buck,Animal_CapraHircus_White,Animal,N/A,,dayzanimal,Buck,
Doe,Animal_CapraHircusF,Animal,N/A,,dayzanimal,Doe,
Roebuck,Animal_CapreolusCapreolus,Animal,N/A,,dayzanimal,Roebuck,
Doe,Animal_CapreolusCapreolusF,Animal,N/A,,dayzanimal,Doe,
Stag,Animal_CervusElaphus,Animal,N/A,,dayzanimal,Stag,
Hind,Animal_CervusElaphusF,Animal,N/A,,dayzanimal,Hind,
Hen,Animal_GallusGallusDomesticusF_Spotted,Animal,N/A,,NULL,Hen,
Hen,Animal_GallusGallusDomesticusF_White,Animal,N/A,,NULL,Hen,
Ram,Animal_OvisAries,Animal,N/A,,dayzanimal,Ram,
Ewe,Animal_OvisAriesF,Animal,N/A,,dayzanimal,Ewe,
Pig,Animal_SusDomesticus,Animal,N/A,,dayzanimal,Pig,
Boar,Animal_SusScrofa,Animal,N/A,,dayzanimal,Wild Boar,
Boar,Animal_UrsusArctos,Animal,N/A,,dayzanimal,Brown Bear,
Rooster,Animal_GallusGallusDomesticus,Animal,N/A,,dayzanimal,Rooster,
Hen,Animal_GallusGallusDomesticusF_Brown,Animal,N/A,,dayzanimal,Hen,
Cow,Animal_BosTaurus_Spotted,Animal,N/A,,,,
Cow,Animal_BosTaurus_White,Animal,N/A,,,,
Goat,Animal_CapraHircus_Black,Animal,N/A,,,,
Goat,Animal_CapraHircus_Brown,Animal,N/A,,,,
CarWreck,Land_Wreck_sed01_aban1_police,Car_Wreck,N/A,,house,NULL,
CarWreck,Land_Wreck_sed01_aban2_police,Car_Wreck,N/A,,house,NULL,
CarWreck,Land_Wreck_Volha_Police,Car_Wreck,N/A,,,,
CarWreck,Land_Wreck_hb01_aban1_police,Car_Wreck,N/A,,,,
CarWreck,Land_Wreck_hb01_aban2_police,Car_Wreck,N/A,,,,
HeliCrash,Wreck_Mi8,Helicrash,N/A,,house,NULL,
HeliCrash,Wreck_UH1Y,Helicrash,N/A,,house,NULL,
Clutter Cutter6x6,ClutterCutter6x6,Loot,Construction,,NULL,$UNT$Clutter Cutter 3x3,
Garden,GardenPlot,Loot,Construction,,NULL,Unknown,
Large Tent Clutter Cutter,LargeTentClutterCutter,Loot,Camping,,NULL,$UNT$Clutter Cutter 3x3,
,ZmbF_,Infected,N/A,,,,
,ZmbM_,Infected,N/A,,,,
AK Handguard,AK_PlasticHndgrd,Loot,Attachments,,inventoryItem,KA Polymer Handguard,
KA-74,AK74,Loot,Weapons,,Weapons,KA-74,
AKM,AKM,Loot,Weapons,,Weapons,KA-M,
KAS-74U,AKS74U,Loot,Weapons,,Weapons,KAS-74U,
Field Backpack,AliceBag_Camo,Loot,Backpacks,,clothing,Field Backpack,
12ga,Ammo_12gaPellets,Loot,Ammunition,,ProxyMagazines,12ga 00 Buckshots,
12ga Ru,Ammo_12gaRubberSlug,Loot,Ammunition,,ProxyMagazines,12ga Rubber Slugs,
12ga Ri,Ammo_12gaSlug,Loot,Ammunition,,ProxyMagazines,12ga Rifled Slugs,
.22 LR,Ammo_22,Loot,Ammunition,,ProxyMagazines,.22 LR Rounds,
.308 WIN,Ammo_308Win,Loot,Ammunition,,ProxyMagazines,.308 WIN Rounds,
.308 WIN,Ammo_308WinTracer,Loot,Ammunition,,ProxyMagazines,.308 WIN Tracer Rounds,
0.357 Caliber,Ammo_357,Loot,Ammunition,,ProxyMagazines,.357 Rounds,
0.38 Caliber,Ammo_380,Loot,Ammunition,,ProxyMagazines,.380 ACP Rounds,
0.45 ACP,Ammo_45ACP,Loot,Ammunition,,ProxyMagazines,.45 ACP Rounds,
5.45x39,Ammo_545x39,Loot,Ammunition,,ProxyMagazines,5.45x39mm Rounds,
5.45x39 T,Ammo_545x39Tracer,Loot,Ammunition,,ProxyMagazines,5.45x39mm Tracer Rounds,
5.56x45,Ammo_556x45,Loot,Ammunition,,ProxyMagazines,5.56x45mm Rounds,
556x45 T,Ammo_556x45Tracer,Loot,Ammunition,,ProxyMagazines,5.56x45mm Tracer Rounds,
7.62x39,Ammo_762x39,Loot,Ammunition,,ProxyMagazines,7.62x39mm Rounds,
7.62x54,Ammo_762x54,Loot,Ammunition,,ProxyMagazines,7.62x54mmR Rounds,
7.62x54 T,Ammo_762x54Tracer,Loot,Ammunition,,ProxyMagazines,7.62x54mmR Tracer Rounds,
9x19,Ammo_9x19,Loot,Ammunition,,ProxyMagazines,9x19mm Rounds,
9x39,Ammo_9x39,Loot,Ammunition,,ProxyMagazines,9x39mm Rounds,
9x39AP,Ammo_9x39AP,Loot,Ammunition,,ProxyMagazines,9x39mm Armor-Piercing Rounds,
Flare,Ammo_Flare,Loot,Ammunition,,ProxyMagazines,Flare,
Flare Blue,Ammo_FlareBlue,Loot,Ammunition,,ProxyMagazines,Flare,
Flare Green,Ammo_FlareGreen,Loot,Ammunition,,ProxyMagazines,Flare,
Flare Red,Ammo_FlareRed,Loot,Ammunition,,ProxyMagazines,Flare,
AmmoBox,AmmoBox,Loot,Ammunition,,inventoryItem,Ammo Box,
B_12ga,AmmoBox_00buck_10rnd,Loot,Ammunition,,inventoryItem,Boxed 12ga 00 Buckshots,
B_12ga R,AmmoBox_12gaSlug_10Rnd,Loot,Ammunition,,inventoryItem,Boxed 12ga Rifled Slugs,
B_22 LR,AmmoBox_22_50Rnd,Loot,Ammunition,,inventoryItem,Boxed .22 LR Rounds,
B_.308,AmmoBox_308Win_20Rnd,Loot,Ammunition,,inventoryItem,Boxed .308 WIN Rounds,
B_.308 T,AmmoBox_308WinTracer_20Rnd,Loot,Ammunition,,inventoryItem,Boxed .308 WIN Tracer Rounds,
B_.357,AmmoBox_357_20Rnd,Loot,Ammunition,,inventoryItem,Boxed .357 Rounds,
B_.380,AmmoBox_380_35rnd,Loot,Ammunition,,inventoryItem,Boxed .380 ACP Rounds,
B_.45,AmmoBox_45ACP_25rnd,Loot,Ammunition,,inventoryItem,Boxed .45 ACP Rounds,
B_5.45x39,AmmoBox_545x39_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 5.45x39mm Rounds,
B_556x45,AmmoBox_556x45_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 5.56x45mm Rounds,
B_5.56x45 T,AmmoBox_556x45Tracer_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 5.56x45mm Tracer Rounds,
B_7.62x39,AmmoBox_762x39_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 7.62x39mm Rounds,
B_7.62x54,AmmoBox_762x54_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 7.62x54mmR Rounds,
B_9x19,AmmoBox_9x19_25rnd,Loot,Ammunition,,inventoryItem,Boxed 9x19mm Rounds,
B_9x39,AmmoBox_9x39_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 9x39mm Rounds,
B_9x39 AP,AmmoBox_9x39AP_20Rnd,Loot,Ammunition,,inventoryItem,Boxed 9x39mm Armor-Piercing Rounds,
Apple,Apple,Loot,Food,,inventoryItem,Apple,
Assault Bag,AssaultBag_Green,Loot,Backpacks,,clothing,Assault Backpack,
Athletic Shoes,AthleticShoes_Blue,Loot,Shoes,,clothing,Athletic Shoes,
Athletic Shoes,AthleticShoes_Brown,Loot,Shoes,,clothing,Athletic Shoes,
Aviator Sunglasses,AviatorGlasses,Loot,Eyewear,,clothing,Aviator Sunglasses,
Blaze,B95,Loot,Weapons,,Weapons,Blaze,
Beans,BakedBeansCan,Loot,Food,,inventoryItem,Canned Baked Beans,
Balaclava,Balaclava3Holes_Beige,Loot,Headwear,,clothing,Balaclava,
Balaclava,Balaclava3Holes_Black,Loot,Headwear,,clothing,Balaclava,
Ski Mask,BalaclavaMask_Blackskull,Loot,Headwear,,clothing,Ski Mask,
Ski Mask,BalaclavaMask_Blue,Loot,Headwear,,clothing,Ski Mask,
Balaclava,BalaclavaMask_Pink,Loot,Headwear,,clothing,Ski Mask,
Ballistic Helmet,BallisticHelmet_UN,Loot,Headwear,,clothing,Ballistic Helmet,
Bandage,BandageDressing,Loot,Medical,,inventoryItem,Bandage,
Bandana,Bandana_CamoPattern,Loot,Headwear,,clothing,Bandana,
Bandana,Bandana_Greenpattern,Loot,Headwear,,clothing,Bandana,
Bandana,Bandana_PolkaPattern,Loot,Headwear,,clothing,Bandana,
Barbed Wire,BarbedWire,Loot,Equipment,Camping Gear,inventoryItem,Barbed Wire,
Barrel_Blue,Barrel_Blue,Loot,Large Storage,,inventoryItem,Barrel,
Barrel,Barrel_Green,Loot,Large Storage,,inventoryItem,Barrel,
Barrel,Barrel_Red,Loot,Large Storage,,inventoryItem,Barrel,
Barrel,Barrel_Yellow,Loot,Large Storage,,inventoryItem,Barrel,
Barrel Holes,BarrelHoles_Blue,Loot,Large Storage,,inventoryItem,Fire Barrel,
Barrel Holes,BarrelHoles_Green,Loot,Large Storage,,inventoryItem,Fire Barrel,
Barrel Holes,BarrelHoles_Red,Loot,Large Storage,,inventoryItem,Fire Barrel,
Barrel Holes,BarrelHoles_Yellow,Loot,Large Storage,,inventoryItem,Fire Barrel,
Baseball Bat,BaseballBat,Loot,Melee Weapons,,inventoryItem,Baseball Bat,
Baseball Cap,BaseballCap_Beige,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_Black,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_Camo,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_CMMG_Black,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_CMMG_Pink,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_Olive,Loot,Headwear,,clothing,Baseball Cap,
Baseball Cap,BaseballCap_Pink,Loot,Headwear,,clothing,Baseball Cap,
9V,Battery9V,Loot,Electricity,,inventoryItem,9V Battery,
BatteryCharger,BatteryCharger,Loot,Electricity,Camping Gear,inventoryItem,Battery Charger,
BDU Pants,BDUPants,Loot,Pants,,clothing,BDU Pants,
Beanie,BeanieHat_Beige,Loot,Headwear,,clothing,Beanie,
Beanie,BeanieHat_Black,Loot,Headwear,,clothing,Beanie,
Beanie,BeanieHat_Blue,Loot,Headwear,,clothing,Beanie,
Beanie,BeanieHat_Green,Loot,Headwear,,clothing,Beanie,
Beanie,BeanieHat_Grey,Loot,Headwear,,clothing,Beanie,
Beanie,BeanieHat_Red,Loot,Headwear,,clothing,Beanie,
Bear Trap,BearTrap,Loot,Traps,,inventoryItem,Bear Trap,
Binoculars,Binoculars,Loot,Optics,,itemoptics,Binoculars,
Blood Collection Kit,BloodBagEmpty,Loot,Medical,,inventoryItem,Blood Collection Kit,
Boletus Mushroom,BoletusMushroom,Loot,Food,,inventoryItem,Penny Bun,
Bomber Jacket,BomberJacket_Blue,Loot,Shirts,,clothing,Bomber Jacket,
Bomber Jacket,BomberJacket_Brown,Loot,Shirts,,clothing,Bomber Jacket,
Bomber Jacket,BomberJacket_Maroon,Loot,Shirts,,clothing,Bomber Jacket,
Bomber Jacket,BomberJacket_Olive,Loot,Shirts,,clothing,Bomber Jacket,
Bomber Jacket,BomberJacket_SkyBlue,Loot,Shirts,,clothing,Bomber Jacket,
Boonie Hat,BoonieHat_Blue,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_DPM,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_Dubok,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_Flecktran,Loot,Headwear,,clothing,Boonie Hat,
Boonie Hat,BoonieHat_NavyBlue,Loot,Headwear,,clothing,Boonie Hat,
